scene_name
airport
bus_park
highway
street
bridge
suspension_bridge
parking_area
petrol_pump
construction_site
factory
warehouse
workshop
supermarket
shopping_mall
grocery_shop
clothing_store
jewelry_shop
pharmacy
bank
restaurant
resort
barber_shop
beauty_parlor
office
classroom
school
college_campus
library
laboratory
hospital
government_office
wedding
cinema_hall
stadium
football_ground
cricket_ground
basketball_court
gym
swimming_pool
playground
park
temple
stupa
church
festival_street
village
field
garden
open_field
river
lake
waterfall
mountain
forest
hiking_trail
campsite
house_front
balcony
rooftop
bus_stop
garage
ocean
beach
