,threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,tpr
0,0.0,4126,51306,148782,90,0.2713211684548516,0.02698354566144348,0.9786527514231499,0.05251902955627403,0.7435828235576346,0.9786527514231499
1,0.05,3986,111938,88150,230,0.5674093507713995,0.04326213423634627,0.9454459203036053,0.08273829292593822,0.4405561552916717,0.9454459203036053
2,0.1,3884,163146,36942,332,0.8175561907745321,0.09513545289766326,0.9212523719165086,0.17246125838106657,0.1846287633441286,0.9212523719165086
3,0.15000000000000002,3802,188494,11594,414,0.9412248414127966,0.24694725902831904,0.9018026565464896,0.38772180297776876,0.057944504418056056,0.9018026565464896
4,0.2,3680,197026,3062,536,0.9823889889576317,0.5458320973005043,0.872865275142315,0.6716554115714547,0.015303266562712407,0.872865275142315
5,0.25,3538,199382,706,678,0.9932257811888167,0.8336475023562677,0.8391840607210627,0.8364066193853428,0.0035284474831074326,0.8391840607210627
6,0.30000000000000004,3326,199958,130,890,0.995007439893492,0.9623842592592593,0.788899430740038,0.8670490093847758,0.0006497141257846547,0.788899430740038
7,0.35000000000000003,3062,200054,34,1154,0.9941851358759496,0.9890180878552972,0.726280834914611,0.837527352297593,0.0001699252328975251,0.726280834914611
8,0.4,2658,200084,4,1558,0.9923545305035634,0.9984973703981969,0.6304554079696395,0.7728990985751673,1.999120387029707e-05,0.6304554079696395
9,0.45,2236,200086,2,1980,0.9902987704597072,0.9991063449508489,0.530360531309298,0.6929036256585063,9.995601935148535e-06,0.530360531309298
10,0.5,1786,200088,0,2430,0.9881059597462605,1.0,0.42362428842504746,0.595134955014995,0.0,0.42362428842504746
11,0.55,1412,200088,0,2804,0.9862753543738743,1.0,0.3349146110056926,0.501776830135039,0.0,0.3349146110056926
12,0.6000000000000001,1062,200088,0,3154,0.984562221003994,1.0,0.2518975332068311,0.4024251610458507,0.0,0.2518975332068311
13,0.65,804,200088,0,3412,0.9832993969770538,1.0,0.19070208728652752,0.32031872509960163,0.0,0.19070208728652752
14,0.7000000000000001,644,200088,0,3572,0.9825162502936801,1.0,0.1527514231499051,0.2650205761316872,0.0,0.1527514231499051
15,0.75,578,200088,0,3638,0.9821932022867883,1.0,0.13709677419354838,0.2411347517730496,0.0,0.13709677419354838
16,0.8,548,200088,0,3668,0.9820463622836557,1.0,0.12998102466793168,0.23005877413937867,0.0,0.12998102466793168
17,0.8500000000000001,526,200088,0,3690,0.9819386796146918,1.0,0.1247628083491461,0.2218473218051455,0.0,0.1247628083491461
18,0.9,498,200088,0,3718,0.9818016289451014,1.0,0.11812144212523719,0.2112855324565125,0.0,0.11812144212523719
19,0.9500000000000001,476,200088,0,3740,0.9816939462761375,1.0,0.11290322580645161,0.2028985507246377,0.0,0.11290322580645161
20,1.0,146,200088,0,4070,0.980078706241679,1.0,0.03462998102466793,0.06694176983035305,0.0,0.03462998102466793
