epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.7698556081646455,22.837370242214533,1.8776700422425583,63.32179930795848,5e-06
2,1.862187852084018,51.21107266435986,1.380140788827388,65.7439446366782,5e-06
3,1.540167493391202,57.52595155709343,1.2156340333417213,69.8961937716263,5e-06
4,1.1929363319618067,67.30103806228374,0.7705853132846858,77.50865051903114,5e-06
5,0.8775152813604546,74.30795847750865,0.7151867858678824,77.16262975778547,5e-06
6,0.6382378145897677,79.23875432525952,0.6341849040613867,80.27681660899654,5e-06
7,0.6188371602226707,81.40138408304499,0.5950834560610844,82.00692041522491,5e-06
8,0.4882270110107211,84.77508650519032,0.5940064424616656,83.04498269896193,5e-06
9,0.432018738304455,88.4083044982699,0.6357585572247687,79.23875432525952,5e-06
10,0.38038102936992185,88.75432525951557,0.6045499381876734,81.31487889273356,5e-06
11,0.37254536172510433,89.3598615916955,0.6096921807032556,82.00692041522491,5e-06
12,0.3385439055188717,89.7923875432526,0.5998779122289076,82.69896193771626,5e-06
13,0.3524396512335147,90.7439446366782,0.5992170409347771,82.3529411764706,5e-06
14,0.293687342153701,91.86851211072664,0.613238418313665,81.66089965397924,5e-06
15,0.3066619898621186,91.08996539792388,0.5945055641259701,82.69896193771626,5e-06
